query,run,qid,client_elapsed_s,exec_wallclock_s,total_cpu_sec,total_scan_mb,scan_wallclock_s,shuffle_mb,shuffle_wallclock_s,other_wallclock_s
Q1,cold,410809,12.208,11.765,25.860000000000003,6543.881,5.215,0.004,5.204,36.508
Q2,cold,410824,12.475,11.829,0,9.185,0.145,18.852,0.316,0.909
Q3,cold,410853,20.528,20.259,5.54,269.059,2.241,321.744,2.758,15.689
Q4,cold,410882,13.353,12.542,5.9399999999999995,184.794,1.724,156.627,3.669,17.199
Q5,cold,410904,18.887,18.57,20.68,258.057,3.241,210.741,3.499,29.138
Q6,cold,410924,6.901,6.492,1.98,87.018,1.784,0,0,5.352
Q7,cold,410939,10.031,9.55,4.38,272.638,1.418,228.797,1.64,12.731
Q8,cold,410961,19.535,19.253,5.0,106.154,1.689,168.383,2.235,8.006
Q9,cold,410978,24.36,23.721,45.980000000000004,1446.937,4.795,1557.557,8.993,40.666
Q10,cold,411000,12.759,12.436,12.68,742.853,2.176,749.374,3.121,13.151
Q11,cold,411015,11.293,10.957,0,537.167,0.461,56.506,0.469,3.222
Q12,cold,411039,13.515,13.024,13.180000000000001,62.525,2.489,33.186,3.479,9.018
Q13,cold,411058,13.045,12.522,24.080000000000002,1563.231,5.762,1450.029,11.046,74.655
Q14,cold,411081,10.041,9.687,2.18,231.455,3.219,45.684,3.187,7.666
Q15,cold,411110,20.001,6.306,0,3.052,0.024,0,0.008,0.153
Q16,cold,411134,16.981,12.966,3.4200000000000004,326.496,1.391,706.205,2.697,12.555
Q17,cold,411156,8.455,8.088,0.78,16.881,0.637,4.212,1.1,4.83
Q18,cold,411181,7.118,6.793,18.52,7453.625,3.515,2122.573,6.582,25.065
Q19,cold,411206,11.01,10.545,17.36,1.237,3.254,0.505,0.175,19.524
Q20,cold,411236,34.962,26.898,4.36,48.565,2.683,165.148,6.507,18.767
Q21,cold,411272,47.924,5.124,0,9.105,0.076,7.116,0.071,0.538
Q22,cold,411295,18.635,12.179,3.54,138.082,0.686,175.12,1.76,4.704
Q1,warm,411310,4.717,4.318,26.04,6543.881,4.305,0.004,4.294,30.137
Q2,warm,411332,1.395,0.737,0,9.175,0.155,18.804,0.31,1.014
Q3,warm,411349,3.443,3.303,3.88,269.087,2.768,321.829,3.128,19.379
Q4,warm,411362,2.164,2.006,1.56,184.794,1.439,156.627,3.148,14.332
Q5,warm,411384,3.265,2.977,4.24,258.057,2.391,210.741,2.535,21.504
Q6,warm,411402,1.937,1.62,1.8199999999999998,87.018,1.519,0,0,4.557
Q7,warm,411415,2.667,2.507,3.8,272.638,2.06,228.797,2.265,18.52
Q8,warm,411435,3.289,2.983,3.22,106.154,2.286,168.383,2.606,9.803
Q9,warm,411450,12.131,11.853,17.119999999999997,914.658,2.697,1557.557,4.617,21.793
Q10,warm,411469,3.125,2.882,7.359999999999999,742.844,1.655,749.375,2.625,11.085
Q11,warm,411485,0.82,0.553,0,537.167,0.143,56.506,0.132,0.989
Q12,warm,411498,2.872,2.714,7.26,62.525,2.135,33.186,2.529,5.921
Q13,warm,411518,3.537,3.4,18.919999999999998,1563.231,3.287,1450.029,6.4,42.656
Q14,warm,411533,3.695,3.361,1.7,229.8,3.103,45.684,3.084,7.146
Q15,warm,411549,2.375,0.043,0,3.052,0.012,0,0.005,0.075
Q16,warm,411569,2.593,1.224,0,319.978,0.723,686.652,1.351,6.498
Q17,warm,411586,1.672,1.512,3.7600000000000002,16.881,0.634,4.21,1.159,4.87
Q18,warm,411605,4.608,4.406,23.3,7453.624,3.5,2122.572,6.593,24.889
Q19,warm,411633,3.895,3.584,15.36,1.237,3.286,0.505,0.155,19.716
Q20,warm,411653,2.574,1.244,0.44000000000000006,111.704,0.75,165.144,1.706,5.25
Q21,warm,411685,10.383,0.1,0,8.946,0.027,6.798,0.026,0.191
Q22,warm,411703,1.843,1.17,1.0,138.082,0.276,175.12,0.985,2.597
