query,run,qid,client_elapsed_s,exec_wallclock_s,total_cpu_sec,total_scan_mb,scan_wallclock_s,shuffle_mb,shuffle_wallclock_s,other_wallclock_s
full_scan_lineitem,cold,208412,0.661,0.388,0,915.315,0.238,0,0,0.714
full_scan_orders,cold,208425,0.306,0.063,0,228.882,0.053,0,0,0.159
full_scan_supplier,cold,208440,0.291,0.018,0,1.526,0.007,0,0,0.021
selectivity_01pct,cold,208454,0.324,0.099,0,1.661,0.007,0,0,0.021
selectivity_05pct,cold,208473,0.343,0.021,0,39.917,0.011,0,0,0.033
selectivity_10pct,cold,208488,0.317,0.033,0,131.076,0.023,0,0,0.069
selectivity_25pct,cold,208501,0.307,0.069,0,305.844,0.056,0,0,0.168
selectivity_50pct,cold,208521,0.366,0.144,0,686.606,0.133,0,0,0.399
selectivity_75pct,cold,208534,0.415,0.193,0,1067.845,0.181,0,0,0.543
selectivity_100pct,cold,208549,0.551,0.233,0,915.315,0.221,0,0,0.663
full_scan_lineitem,warm,208562,0.409,0.258,0,915.315,0.244,0,0,0.732
full_scan_orders,warm,208582,0.17,0.058,0,228.882,0.047,0,0,0.141
full_scan_supplier,warm,208595,0.128,0.016,0,1.526,0.005,0,0,0.015
selectivity_01pct,warm,208610,0.135,0.016,0,1.661,0.005,0,0,0.015
selectivity_05pct,warm,208624,0.135,0.021,0,39.917,0.011,0,0,0.033
selectivity_10pct,warm,208643,0.148,0.035,0,131.076,0.024,0,0,0.072
selectivity_25pct,warm,208660,0.173,0.059,0,305.844,0.047,0,0,0.141
selectivity_50pct,warm,208675,0.225,0.112,0,686.606,0.1,0,0,0.3
selectivity_75pct,warm,208692,0.431,0.303,0,1067.845,0.291,0,0,0.873
selectivity_100pct,warm,208708,0.371,0.222,0,915.315,0.213,0,0,0.639
